account_id,total_amount,avg_amount,tx_count,avg_balance_diff,zero_balance_count,riskScore,class
C456832889,741800.37,741800.37,1,0.0,1,34.71,NORMAL
C657439943,1119379.71,1119379.71,1,5051.0,0,44.65,NORMAL
C1009000027,41775.91,41775.91,1,0.0,1,6.21,NORMAL
C1025620219,82880.81,82880.81,1,0.0,1,4.17,NORMAL
C1340270772,374542.71,374542.71,1,0.0,1,12.97,NORMAL
C579784323,241803.49,241803.49,1,2094.0,0,3.08,NORMAL
C530312278,67074.38,67074.38,1,21440.0,0,3.66,NORMAL
C858447737,9854.13,9854.13,1,1382.0,0,12.98,NORMAL
C287275635,82506.47,82506.47,1,20384.0,0,2.48,NORMAL
C2020233153,139279.64,139279.64,1,0.0,1,1.74,NORMAL
C853583605,180759.45,180759.45,1,11837.0,0,0.88,NORMAL
C856854353,178671.59,178671.59,1,0.0,1,2.56,NORMAL
C1937154097,114224.6,114224.6,1,114224.6,0,16.26,NORMAL
C2093424200,290751.63,290751.63,1,0.0,1,7.19,NORMAL
C1445440249,156845.15,156845.15,1,81953.0,0,9.34,NORMAL
C254823126,134178.62,134178.62,1,11228.0,0,1.18,NORMAL
C1431859543,39053.27,39053.27,1,39053.27,0,10.03,NORMAL
C1067286911,47575.01,47575.01,1,5742.0,0,6.34,NORMAL
C1634370316,104986.49,104986.49,1,0.0,1,3.26,NORMAL
C19857962,358969.61,358969.61,1,240.0,0,9.38,NORMAL
C1902660123,3811255.2,3811255.2,1,0.0,1,80.0,FRAUD
C773317079,515.16,515.16,1,0.0,1,21.88,NORMAL
C718499214,577137.25,577137.25,1,0.0,1,27.01,NORMAL
C56124018,247789.86,247789.86,1,604.0,0,3.73,NORMAL
C1007230411,562066.14,562066.14,1,50064.0,0,24.99,NORMAL
C2009324208,210868.62,210868.62,1,0.0,1,4.38,NORMAL
C360901778,140861.57,140861.57,1,20310.0,0,0.75,NORMAL
C1847252866,175766.46,175766.46,1,26253.0,0,1.27,NORMAL
C487353600,17639.13,17639.13,1,0.0,1,12.32,NORMAL
C892070188,419670.82,419670.82,1,80830.0,0,20.37,NORMAL
C1727363658,1998449.22,1998449.22,1,49711.0,0,61.92,AT_RISK
C1034338199,184633.3,184633.3,1,55763.0,0,5.33,NORMAL
C1095533087,276669.69,276669.69,1,82762.0,0,11.53,NORMAL
C112592875,1419232.9,1419232.9,1,0.0,1,54.32,NORMAL
C1400810946,126735.1,126735.1,1,0.0,1,1.82,NORMAL
C1816190491,449120.88,449120.88,1,0.0,1,17.84,NORMAL
C1287390284,680854.47,680854.47,1,100759.0,0,36.78,NORMAL
C2078220835,60265.11,60265.11,1,60265.11,0,11.62,NORMAL
C1969236889,203705.72,203705.72,1,9114.0,0,2.33,NORMAL
C520700943,232444.74,232444.74,1,0.0,1,5.07,NORMAL
C353707765,109979.04,109979.04,1,10085.0,0,2.05,NORMAL
C295167762,84703.87,84703.87,1,40855.0,0,5.21,NORMAL
C682186870,612319.44,612319.44,1,51336.0,0,28.16,NORMAL
C161762344,305504.75,305504.75,1,20184.0,0,4.52,NORMAL
C236224167,183807.42,183807.42,1,0.0,1,3.29,NORMAL
C1538062752,83074.88,83074.88,1,0.0,1,4.07,NORMAL
C1307222398,86236.43,86236.43,1,0.0,1,3.67,NORMAL
C1265805587,22448.53,22448.53,1,0.0,1,11.02,NORMAL
C914370635,88479.67,88479.67,1,31798.0,0,3.96,NORMAL
C556021140,643670.71,643670.71,1,31997.0,0,26.72,NORMAL
C669132066,289919.47,289919.47,1,143.0,0,5.24,NORMAL
C1190378285,422585.05,422585.05,1,0.0,1,17.09,NORMAL
C1062955798,91840.2,91840.2,1,13212.45,0,2.68,NORMAL
C1497814741,13248.04,13248.04,1,0.0,1,14.97,NORMAL
C1198564067,208792.13,208792.13,1,54670.0,0,5.85,NORMAL
C896169346,101101.05,101101.05,1,0.0,1,3.03,NORMAL
C2133436151,200195.53,200195.53,1,31661.0,0,3.08,NORMAL
C406548689,388952.69,388952.69,1,1185.0,0,11.61,NORMAL
C1156579431,104573.57,104573.57,1,0.0,1,3.29,NORMAL
C1029827131,711795.67,711795.67,1,0.0,1,32.8,NORMAL
C1596168080,116526.6,116526.6,1,11459.0,0,1.7,NORMAL
C1633848999,76672.16,76672.16,1,29717.0,0,4.34,NORMAL
C181258443,389001.24,389001.24,1,0.0,1,14.61,NORMAL
C788622974,464833.17,464833.17,1,24716.0,0,16.21,NORMAL
C1189566998,984248.42,984248.42,1,19757.0,0,40.03,NORMAL
C1105000935,24437.67,24437.67,1,0.0,1,11.11,NORMAL
C1375239528,1626361.78,1626361.78,1,0.0,1,57.72,AT_RISK
C1511776389,80663.82,80663.82,1,0.0,1,3.95,NORMAL
C823888282,37505.3,37505.3,1,37505.3,0,9.76,NORMAL
C1513534074,124068.81,124068.81,1,0.0,1,1.88,NORMAL
C1536042726,152211.0,152211.0,1,0.0,1,1.75,NORMAL
C1428303163,352444.35,352444.35,1,0.0,1,11.3,NORMAL
C692197954,185967.81,185967.81,1,0.0,1,3.56,NORMAL
C1299249468,148624.54,148624.54,1,0.0,1,1.7,NORMAL
C1882618846,202837.17,202837.17,1,0.0,1,3.62,NORMAL
C457310169,469216.17,469216.17,1,276579.0,0,49.53,NORMAL
C1809899885,169500.27,169500.27,1,100583.5,0,11.28,NORMAL
C1798263472,324067.84,324067.84,1,42917.0,0,8.59,NORMAL
C1101124654,154896.1,154896.1,1,93.0,0,1.94,NORMAL
C1891812296,156834.37,156834.37,1,104888.0,0,11.89,NORMAL
C1523365628,205456.64,205456.64,1,118593.0,0,16.25,NORMAL
C1417405851,907635.86,907635.86,1,0.0,1,40.0,NORMAL
C921754046,625662.01,625662.01,1,25260.0,0,25.73,NORMAL
C1083957319,103140.18,103140.18,1,25098.0,0,2.42,NORMAL
C1868166322,389847.66,389847.66,1,62261.0,0,15.22,NORMAL
C898749917,389983.0,389983.0,1,0.0,1,14.56,NORMAL
C1848649202,247422.86,247422.86,1,0.0,1,5.46,NORMAL
C907180327,54954.11,54954.11,1,0.0,1,4.96,NORMAL
C2085888366,83951.15,83951.15,1,20447.0,0,2.54,NORMAL
C284476383,366932.98,366932.98,1,30554.0,0,10.33,NORMAL
C71848990,163750.29,163750.29,1,54692.0,0,4.71,NORMAL
C266290457,25027.32,25027.32,1,0.0,1,10.89,NORMAL
C1752092471,402715.41,402715.41,1,32812.0,0,12.96,NORMAL
C1525003545,37748.92,37748.92,1,0.0,1,7.57,NORMAL
C604731618,213842.4,213842.4,1,11325.0,0,2.57,NORMAL
C639404397,42744.18,42744.18,1,0.0,1,5.95,NORMAL
C789755075,24032.66,24032.66,1,24032.66,0,9.2,NORMAL
C443374393,43911.08,43911.08,1,0.0,1,5.78,NORMAL
C1385582847,96254.29,96254.29,1,0.0,1,3.38,NORMAL
C1073393831,244231.66,244231.66,1,63629.44,0,8.05,NORMAL
C494285003,269958.34,269958.34,1,0.0,1,7.12,NORMAL
C547541663,449301.59,449301.59,1,5888.0,0,16.23,NORMAL
C950466075,642162.52,642162.52,1,30836.0,0,26.33,NORMAL
C574159850,98445.24,98445.24,1,0.0,1,2.73,NORMAL
C803875434,419895.48,419895.48,1,0.0,1,16.64,NORMAL
C31856269,164443.87,164443.87,1,15117.0,0,0.68,NORMAL
C2145958558,9150.26,9150.26,1,0.0,1,16.47,NORMAL
C451757648,129490.36,129490.36,1,11183.0,0,1.64,NORMAL
C2110082081,69743.04,69743.04,1,0.0,1,4.01,NORMAL
C1990624421,367011.71,367011.71,1,100352.0,0,18.56,NORMAL
C1541036104,683581.32,683581.32,1,651.0,0,28.71,NORMAL
C580410563,386198.37,386198.37,1,14775.35,0,10.61,NORMAL
C876313363,1004543.17,1004543.17,1,20648.0,0,40.87,NORMAL
C961237548,246092.12,246092.12,1,0.0,1,5.64,NORMAL
C1705787868,54034.29,54034.29,1,30696.0,0,5.91,NORMAL
C100177425,29188.85,29188.85,1,29188.850000000006,0,9.82,NORMAL
C2113624573,266003.9,266003.9,1,6123.0,0,4.97,NORMAL
C2093551167,179019.05,179019.05,1,39330.0,0,2.64,NORMAL
C47906428,82543.11,82543.11,1,82543.10999999999,0,13.34,NORMAL
C1056458353,292933.63,292933.63,1,292933.63,0,44.41,NORMAL
C1800943593,90910.44,90910.44,1,17023.0,0,3.01,NORMAL
C281517226,83600.82,83600.82,1,0.0,1,3.94,NORMAL
C1340818050,26304.36,26304.36,1,26304.36,0,9.86,NORMAL
C1442696578,55964.71,55964.71,1,21696.0,0,4.15,NORMAL
C1059585431,13310.67,13310.67,1,0.0,1,14.97,NORMAL
C454414142,53972.71,53972.71,1,0.0,1,4.8,NORMAL
C1416332676,331819.96,331819.96,1,25461.0,0,7.72,NORMAL
C1608982030,249370.72,249370.72,1,0.0,1,5.57,NORMAL
C228817633,165910.05,165910.05,1,50148.0,0,3.94,NORMAL
C1772080172,536862.06,536862.06,1,641.0,0,21.13,NORMAL
C391691269,213295.03,213295.03,1,0.0,1,4.74,NORMAL
C1686917354,876885.39,876885.39,1,100606.29,0,44.69,NORMAL
C203422325,284944.54,284944.54,1,284944.54,0,43.67,NORMAL
C241338795,287427.67,287427.67,1,0.0,1,6.88,NORMAL
C1191561527,425169.07,425169.07,1,0.0,1,17.11,NORMAL
C340810163,37034.04,37034.04,1,25593.0,0,7.31,NORMAL
C642179744,177810.84,177810.84,1,0.0,1,2.64,NORMAL
C421886919,105496.96,105496.96,1,20704.0,0,1.85,NORMAL
C1119457986,49630.32,49630.32,1,0.0,1,5.8,NORMAL
C1659648833,334946.11,334946.11,1,0.0,1,9.86,NORMAL
C85553282,131118.37,131118.37,1,0.0,1,1.59,NORMAL
C2108570815,287661.43,287661.43,1,103.0,0,5.16,NORMAL
C1738799969,301696.3,301696.3,1,47463.0,0,7.56,NORMAL
C1039391518,100472.65,100472.65,1,0.0,1,2.94,NORMAL
C2079400151,426986.72,426986.72,1,16139.0,0,13.87,NORMAL
C447598333,976400.09,976400.09,1,0.0,1,43.53,NORMAL
C487816812,83014.78,83014.78,1,0.0,1,4.07,NORMAL
C477766468,179488.62,179488.62,1,5010.0,0,1.76,NORMAL
C1213751399,84891.22,84891.22,1,69912.06,0,11.22,NORMAL
C1715627080,359837.77,359837.77,1,0.0,1,11.55,NORMAL
C1275962387,15169.02,15169.02,1,148.0,0,12.11,NORMAL
C538248429,63228.43,63228.43,1,366.0,0,6.39,NORMAL
C595935964,65076.7,65076.7,1,117.0,0,6.09,NORMAL
C874228218,221476.7,221476.7,1,11851.0,0,2.63,NORMAL
C1767854326,625057.03,625057.03,1,0.0,1,28.42,NORMAL
C1429962050,102389.78,102389.78,1,94458.0,0,13.51,NORMAL
C1335522700,13789.88,13789.88,1,13789.880000000001,0,11.02,NORMAL
C2079689660,707204.9,707204.9,1,24154.94,0,29.0,NORMAL
C549430717,483801.02,483801.02,1,0.0,1,20.73,NORMAL
C769838718,278423.89,278423.89,1,18006.0,0,4.18,NORMAL
C572320355,121585.57,121585.57,1,121585.57,0,17.81,NORMAL
C1307375853,115728.46,115728.46,1,0.0,1,2.34,NORMAL
C2062429839,60029.44,60029.44,1,0.0,1,5.1,NORMAL
C746038304,69496.11,69496.11,1,39559.0,0,5.71,NORMAL
C343934374,194414.46,194414.46,1,24541.0,0,1.54,NORMAL
C1838637042,280911.6,280911.6,1,21048.0,0,3.52,NORMAL
C1893303564,75822.98,75822.98,1,0.0,1,4.26,NORMAL
C394709529,102400.11,102400.11,1,1889.0,0,3.35,NORMAL
C607385181,10077.42,10077.42,1,0.0,1,16.09,NORMAL
C1367301509,1043184.48,1043184.48,1,0.0,1,45.62,NORMAL
C282139929,94485.51,94485.51,1,0.0,1,3.83,NORMAL
C1399870244,319547.58,319547.58,1,0.0,1,8.3,NORMAL
C474979153,1054447.46,1054447.46,1,31328.0,0,43.06,NORMAL
C1949551795,133181.76,133181.76,1,0.0,1,1.53,NORMAL
C642367460,1230912.9,1230912.9,1,120.0,0,46.99,NORMAL
C1899520640,375068.36,375068.36,1,115618.0,0,21.79,NORMAL
C932917442,147598.43,147598.43,1,0.0,1,1.83,NORMAL
C101051316,85971.83,85971.83,1,0.0,1,3.68,NORMAL
C536926509,41045.82,41045.82,1,30733.0,0,7.73,NORMAL
C1406125934,75966.95,75966.95,1,21666.0,0,3.17,NORMAL
C1626351650,441292.53,441292.53,1,4321.0,0,14.72,NORMAL
C1294431000,201903.61,201903.61,1,36112.0,0,3.88,NORMAL
C841588436,439221.63,439221.63,1,0.0,1,17.63,NORMAL
C332564438,506667.39,506667.39,1,0.0,1,22.41,NORMAL
C1619116297,93003.43,93003.43,1,5869.0,0,3.49,NORMAL
C279958624,24827.95,24827.95,1,0.0,1,11.02,NORMAL
C2031397595,147813.67,147813.67,1,0.0,1,1.7,NORMAL
C2038621739,53550.93,53550.93,1,13172.0,0,4.68,NORMAL
C1125952157,146592.77,146592.77,1,146592.77,0,20.7,NORMAL
C1888177932,401648.75,401648.75,1,0.0,1,15.71,NORMAL
C1265257555,228089.46,228089.46,1,0.0,1,5.35,NORMAL
C530829341,143323.57,143323.57,1,143323.57,0,19.6,NORMAL
C1483016115,208781.38,208781.38,1,21786.0,0,2.23,NORMAL
C822130127,239972.3,239972.3,1,0.0,1,5.24,NORMAL
C1095957211,163889.9,163889.9,1,0.0,1,2.24,NORMAL
C334626327,27236.43,27236.43,1,8799.86,0,7.93,NORMAL
C314450188,189553.84,189553.84,1,261.0,0,3.13,NORMAL
C1279387677,184957.09,184957.09,1,21358.0,0,1.02,NORMAL
C2058309739,116390.65,116390.65,1,6225.0,0,2.36,NORMAL
C945242421,243970.77,243970.77,1,0.0,1,5.48,NORMAL
C1387393603,319232.68,319232.68,1,12490.0,0,5.67,NORMAL
C1255834702,208177.6,208177.6,1,26050.0,0,2.65,NORMAL
C647691358,31716.89,31716.89,1,0.0,1,9.55,NORMAL
C642596664,71897.39,71897.39,1,71897.39,0,12.05,NORMAL
C1508162182,88042.7,88042.7,1,9998.0,0,2.9,NORMAL
C1696323034,17819.15,17819.15,1,0.0,1,12.27,NORMAL
C1832914863,2652584.48,2652584.48,1,932.0,0,67.57,AT_RISK
C154071626,282556.96,282556.96,1,231.0,0,5.04,NORMAL
C1677142365,132772.63,132772.63,1,20053.0,0,1.22,NORMAL
C888879845,368975.26,368975.26,1,92796.0,0,17.89,NORMAL
C884667298,177218.23,177218.23,1,0.0,1,2.77,NORMAL
C65693589,310779.17,310779.17,1,0.0,1,7.33,NORMAL
C1628572245,569949.48,569949.48,1,0.0,1,26.21,NORMAL
C1568895054,59766.22,59766.22,1,0.0,1,4.99,NORMAL
C1867437819,104924.06,104924.06,1,104924.06,0,14.77,NORMAL
C1353926970,116180.49,116180.49,1,116180.48999999999,0,16.59,NORMAL
C433463748,279489.64,279489.64,1,0.0,1,7.09,NORMAL
C1767577028,560480.05,560480.05,1,0.0,1,25.19,NORMAL
C1174115181,22888.26,22888.26,1,0.0,1,11.29,NORMAL
C1253065800,142534.2,142534.2,1,35759.0,0,2.86,NORMAL
C16088686,76829.43,76829.43,1,6207.0,0,4.42,NORMAL
C1849850394,502926.53,502926.53,1,0.0,1,21.78,NORMAL
C1847590426,96066.92,96066.92,1,3898.0,0,3.48,NORMAL
C803497735,97642.23,97642.23,1,97642.23000000001,0,14.56,NORMAL
C1569419522,80676.41,80676.41,1,8702.0,0,2.94,NORMAL
C1656725645,88227.85,88227.85,1,0.0,1,3.56,NORMAL
C1949097138,219698.16,219698.16,1,0.0,1,5.08,NORMAL
C1994323575,723502.61,723502.61,1,0.0,1,33.87,NORMAL
C2113404488,310775.37,310775.37,1,0.0,1,7.33,NORMAL
C1058864725,272350.52,272350.52,1,103579.0,0,13.79,NORMAL
C1272346722,52186.55,52186.55,1,489.0,0,6.61,NORMAL
C1484117182,101097.24,101097.24,1,0.0,1,3.03,NORMAL
C966671234,145058.48,145058.48,1,0.0,1,1.79,NORMAL
C1003557424,179235.27,179235.27,1,12417.0,0,0.87,NORMAL
C1697204397,30637.68,30637.68,1,30637.68,0,9.37,NORMAL
C323218924,37463.8,37463.8,1,37463.79999999999,0,9.74,NORMAL
C1571570510,140608.09,140608.09,1,80803.93,0,9.68,NORMAL
C2045856339,408926.67,408926.67,1,0.0,1,16.12,NORMAL
C488668811,58808.36,58808.36,1,0.0,1,5.19,NORMAL
C154246708,103685.46,103685.46,1,0.0,1,3.14,NORMAL
C848899360,379603.98,379603.98,1,0.0,1,13.68,NORMAL
C846420037,53155.3,53155.3,1,0.0,1,5.16,NORMAL
C1293800941,124653.87,124653.87,1,0.0,1,1.79,NORMAL
C1475338800,42602.82,42602.82,1,0.0,1,5.87,NORMAL
C1621778977,544419.66,544419.66,1,0.0,1,24.17,NORMAL
C593385668,22912.34,22912.34,1,9076.0,0,8.36,NORMAL
C1468893975,402186.71,402186.71,1,0.0,1,15.74,NORMAL
C329175665,190228.02,190228.02,1,0.0,1,3.5,NORMAL
C1737507720,166461.46,166461.46,1,0.0,1,2.57,NORMAL
C1222541265,50304.14,50304.14,1,50304.14,0,9.53,NORMAL
C1197593893,13276.44,13276.44,1,0.0,1,14.97,NORMAL
C2141625473,2401504.42,2401504.42,1,0.0,1,68.79,AT_RISK
C1884140553,553849.05,553849.05,1,0.0,1,24.67,NORMAL
C1838817659,64581.5,64581.5,1,0.0,1,4.7,NORMAL
C249131970,41809.41,41809.41,1,12490.0,0,6.12,NORMAL
C1266906385,315284.6,315284.6,1,30316.0,0,6.38,NORMAL
C1901344567,1024984.04,1024984.04,1,39553.0,0,42.45,NORMAL
C1850390951,3050416.82,3050416.82,1,30544.0,0,71.74,AT_RISK
C720914851,126033.32,126033.32,1,0.0,1,1.89,NORMAL
C1455871890,59839.73,59839.73,1,0.0,1,5.01,NORMAL
C1051842513,161496.28,161496.28,1,0.0,1,2.07,NORMAL
C119109447,146007.7,146007.7,1,9962.0,0,0.95,NORMAL
C31072228,2321633.57,2321633.57,1,2321633.57,0,88.38,FRAUD
C1535484215,211520.89,211520.89,1,211520.89,0,31.75,NORMAL
C210367155,58542.85,58542.85,1,274.0,0,6.35,NORMAL
C812084421,30605.41,30605.41,1,0.0,1,9.87,NORMAL
C88176835,1094302.22,1094302.22,1,5031.0,0,44.18,NORMAL
C2086174770,15486.7,15486.7,1,0.0,1,13.44,NORMAL
C1121445525,42691.18,42691.18,1,5496.78,0,6.87,NORMAL
C1708220585,180156.23,180156.23,1,1074.0,0,1.83,NORMAL
C271666226,648280.48,648280.48,1,0.0,1,29.37,NORMAL
C466079732,187952.13,187952.13,1,54751.0,0,4.98,NORMAL
C187793970,260582.68,260582.68,1,78553.98,0,10.04,NORMAL
C968660239,147178.29,147178.29,1,147178.29,0,20.58,NORMAL
C1619012533,36388.06,36388.06,1,0.0,1,7.94,NORMAL
C1396220041,708231.08,708231.08,1,6287.0,0,30.16,NORMAL
C1685239489,584534.76,584534.76,1,0.0,1,27.36,NORMAL
C2013739967,1096660.33,1096660.33,1,0.0,1,47.65,NORMAL
C916634641,7654608.06,7654608.06,1,0.0,1,91.47,FRAUD
C435088108,151292.41,151292.41,1,5528.0,0,1.65,NORMAL
C928366045,89109.4,89109.4,1,0.0,1,3.52,NORMAL
C582350215,283775.24,283775.24,1,283775.24,0,43.39,NORMAL
C1803099256,26493.58,26493.58,1,26493.58,0,9.99,NORMAL
C242862115,71566.35,71566.35,1,0.0,1,4.0,NORMAL
C1171541060,1178711.14,1178711.14,1,32473.0,0,47.41,NORMAL
C1391242358,36725.15,36725.15,1,36725.149999999994,0,9.62,NORMAL
C192095750,207273.42,207273.42,1,20612.0,0,1.72,NORMAL
C1201702509,208536.19,208536.19,1,0.0,1,3.97,NORMAL
C669100313,314602.14,314602.14,1,179524.0,0,27.27,NORMAL
C717757531,445060.56,445060.56,1,14637.0,0,15.17,NORMAL
C593983154,46327.56,46327.56,1,0.0,1,5.78,NORMAL
C1170553577,109378.31,109378.31,1,0.0,1,3.16,NORMAL
C667185824,46912.36,46912.36,1,28767.0,0,6.49,NORMAL
C1461353688,46381.72,46381.72,1,38127.0,0,7.8,NORMAL
C1195204364,138321.93,138321.93,1,0.0,1,1.67,NORMAL
C1357861408,242961.83,242961.83,1,74353.24,0,8.96,NORMAL
C1326110882,51245.14,51245.14,1,51245.14,0,9.34,NORMAL
C1223090202,10169.01,10169.01,1,0.0,1,15.96,NORMAL
C548721895,597339.0,597339.0,1,14774.0,0,24.32,NORMAL
C1464370023,669787.6,669787.6,1,0.0,1,30.4,NORMAL
C716314217,449977.16,449977.16,1,0.0,1,17.91,NORMAL
C638072409,191627.82,191627.82,1,0.0,1,3.42,NORMAL
C1497714276,4932.44,4932.44,1,4932.440000000002,0,14.52,NORMAL
C1849644837,284118.71,284118.71,1,75250.0,0,10.09,NORMAL
C425206607,303342.94,303342.94,1,107084.0,0,15.88,NORMAL
C475505770,1181866.51,1181866.51,1,21006.0,0,46.22,NORMAL
C90255818,182605.07,182605.07,1,20843.0,0,0.56,NORMAL
C227534842,192418.11,192418.11,1,0.0,1,3.44,NORMAL
C1797466346,150572.63,150572.63,1,150572.63,0,21.46,NORMAL
C1834789431,141578.17,141578.17,1,507.0,0,2.67,NORMAL
C238975352,458262.77,458262.77,1,21774.0,0,15.66,NORMAL
C585845464,210077.29,210077.29,1,170.0,0,4.25,NORMAL
C1487065057,149945.07,149945.07,1,11417.0,0,0.97,NORMAL
C1124417310,52434.96,52434.96,1,11532.0,0,4.6,NORMAL
C926481896,85354.74,85354.74,1,21342.0,0,2.74,NORMAL
C1107960128,305817.12,305817.12,1,305817.12,0,45.83,NORMAL
C321432587,159410.43,159410.43,1,30181.0,0,1.55,NORMAL
C1147211937,165211.32,165211.32,1,165211.32000000007,0,23.24,NORMAL
C1462298080,366087.12,366087.12,1,828.0,0,10.1,NORMAL
C1748354503,89636.77,89636.77,1,34414.0,0,4.35,NORMAL
C1173153117,173928.24,173928.24,1,0.0,1,2.78,NORMAL
C1037146961,283813.31,283813.31,1,38695.0,0,5.9,NORMAL
C510263662,386548.1,386548.1,1,0.0,1,14.63,NORMAL
C1855032246,101963.85,101963.85,1,0.0,1,3.03,NORMAL
C1270758400,49985.61,49985.61,1,0.0,1,5.68,NORMAL
C241505806,162325.06,162325.06,1,10313.0,0,0.47,NORMAL
C1008255259,142971.71,142971.71,1,8064.0,0,1.33,NORMAL
C1175583573,788421.63,788421.63,1,28754.0,0,32.59,NORMAL
C1276455144,166440.86,166440.86,1,38673.0,0,2.56,NORMAL
C794605939,95576.53,95576.53,1,0.0,1,3.64,NORMAL
C596692253,125098.45,125098.45,1,0.0,1,1.81,NORMAL
C432564588,460214.86,460214.86,1,0.0,1,19.19,NORMAL
C1592850461,54061.29,54061.29,1,2073.0,0,5.86,NORMAL
C1772810985,26632.07,26632.07,1,0.0,1,10.17,NORMAL
C1853556486,385237.75,385237.75,1,0.0,1,14.4,NORMAL
C657220994,80869.87,80869.87,1,41798.0,0,5.56,NORMAL
C31751449,348596.31,348596.31,1,75630.0,0,13.55,NORMAL
C1108600000,311775.3,311775.3,1,0.0,1,7.54,NORMAL
C1408247796,351276.65,351276.65,1,0.0,1,11.4,NORMAL
C771864078,634872.95,634872.95,1,0.0,1,28.88,NORMAL
C539909453,399039.55,399039.55,1,0.0,1,15.24,NORMAL
C738043073,191729.33,191729.33,1,0.0,1,3.42,NORMAL
C1961724439,57537.99,57537.99,1,10519.0,0,4.24,NORMAL
C1869874142,175845.68,175845.68,1,127664.0,0,16.92,NORMAL
C1508612263,21751.56,21751.56,1,21751.559999999998,0,8.79,NORMAL
C159553549,141217.29,141217.29,1,0.0,1,1.68,NORMAL
C8629279,81874.57,81874.57,1,0.0,1,4.29,NORMAL
C1131591540,1394045.28,1394045.28,1,0.0,1,53.44,NORMAL
C1478565425,32970.24,32970.24,1,16583.0,0,7.11,NORMAL
C1936765684,795181.45,795181.45,1,99333.0,0,41.35,NORMAL
C1605188373,19091.47,19091.47,1,0.0,1,12.31,NORMAL
C855876592,79446.43,79446.43,1,79446.43,0,12.71,NORMAL
C272356076,134006.76,134006.76,1,0.0,1,1.63,NORMAL
C102709320,37227.0,37227.0,1,0.0,1,7.69,NORMAL
C1348915928,145834.61,145834.61,1,30835.0,0,2.25,NORMAL
C2057716492,102565.9,102565.9,1,6033.0,0,3.09,NORMAL
C1621153569,63021.29,63021.29,1,0.0,1,4.97,NORMAL
C1627520728,211203.23,211203.23,1,211203.23,0,31.7,NORMAL
C560993247,408944.01,408944.01,1,25111.0,0,12.44,NORMAL
C265470715,18026.44,18026.44,1,18026.440000000002,0,9.15,NORMAL
C1422789876,247626.53,247626.53,1,1233.0,0,3.56,NORMAL
C618040173,132826.05,132826.05,1,72530.0,0,8.67,NORMAL
C1319437678,204657.38,204657.38,1,5093.0,0,3.78,NORMAL
C2002574579,173003.13,173003.13,1,146072.0,0,19.74,NORMAL
C46756480,330963.26,330963.26,1,0.0,1,9.73,NORMAL
