src,dst,amount,step,fraudEdge
C1964004947,C1198564067,32974.87,616,0
C453086010,C1421044206,26138.91,617,0
C453086010,C536926509,28091.59,618,0
C453086010,C727914800,23094.86,619,0
C453086010,C1791283743,33545.1,623,0
C453086010,C1092991821,29974.89,628,0
C453086010,C1173153117,30826.29,632,0
C453086010,C1804760387,44655.0,638,0
C453086010,C1460843648,41613.17,642,0
C74171179,C1391242358,37712.95,647,0
C74171179,C828649970,14226.91,653,0
C74171179,C1186202401,24487.55,658,0
C74171179,C1593508387,14092.57,660,0
C74171179,C2126226433,35820.47,661,0
C983992720,C1779604043,7349.52,663,0
C983992720,C1250213072,19460.25,665,0
C983992720,C642343270,35467.75,667,0
C983992720,C454414142,21035.96,668,0
C1799966941,C1252917072,45289.5,671,0
C1799966941,C1005997884,47330.07,676,0
C1799966941,C907180327,42908.24,677,0
C1799966941,C1476446823,19328.86,682,0
C1799966941,C340644289,47165.71,683,0
C1799966941,C385685390,37797.02,686,0
C456832889,C1712780480,24667.36,690,0
C456832889,C1951253959,22073.88,693,0
C456832889,C1189054692,19748.43,694,0
C456832889,C1117823277,34117.52,700,0
C456832889,C2138247762,36346.98,704,0
C456832889,C375145280,46017.31,708,0
C657439943,C254823126,32316.11,713,0
C657439943,C26292989,43409.14,715,0
C657439943,C458029957,2989.09,717,0
C657439943,C173227949,16703.96,721,0
C657439943,C154435424,16678.87,725,0
C657439943,C1686917354,14273.7,729,0
C1009000027,C1608982030,27201.24,733,0
C1009000027,C1596485339,11599.0,736,0
C1009000027,C1799966941,39171.04,737,0
C1009000027,C1750174046,2492.78,743,0
C1025620219,C116148758,8042.93,744,0
C1025620219,C657439943,23941.27,746,0
C1025620219,C2089474645,28416.49,747,0
C1340270772,C1705249425,30491.69,749,0
C1340270772,C1830207618,36058.68,755,0
C1340270772,C1295344274,48253.68,757,0
C1340270772,C1126294209,29144.89,758,0
C1340270772,C1849644837,29001.94,761,0
C579784323,C1218726070,41613.3,765,0
C579784323,C1710737182,5544.11,767,0
C579784323,C100177425,42589.52,770,0
C579784323,C458029957,40373.63,775,0
C579784323,C1855527129,39240.45,780,0
C530312278,C1405372551,17390.94,783,0
C530312278,C1950049371,41205.38,787,0
C530312278,C689212625,21959.41,788,0
C530312278,C547541663,31961.46,791,0
C530312278,C1065732964,35511.78,795,0
C530312278,C1169179933,9218.78,799,0
C858447737,C1235823087,41373.86,804,0
C858447737,C223911907,13785.58,809,0
C858447737,C584129275,41621.19,811,0
C858447737,C1198642797,14306.95,812,0
C858447737,C1378864520,12571.24,816,0
C858447737,C1238436951,28707.56,820,0
C858447737,C340257095,19259.97,826,0
C287275635,C2031226354,39992.7,827,0
C287275635,C1592850461,14343.1,830,0
C287275635,C2046905445,35208.6,835,0
C287275635,C1779755882,28011.66,838,0
C287275635,C131426202,47429.1,843,0
C2020233153,C1955792345,27981.22,844,0
C2020233153,C1147401468,34685.16,846,0
C2020233153,C703398069,35736.2,852,0
C853583605,C1964004947,33366.02,856,0
C853583605,C1275962387,23926.39,859,0
C853583605,C1463327340,17515.99,864,0
C853583605,C1532101531,27744.23,870,0
C853583605,C605500145,35291.32,873,0
C853583605,C1680773832,15677.84,876,0
C853583605,C1617007622,6472.47,878,0
C853583605,C1537491556,16119.62,880,0
C856854353,C668755957,24467.83,886,0
C856854353,C185430500,29684.55,892,0
C856854353,C771864078,30041.14,897,0
C856854353,C272356076,41715.1,898,0
C856854353,C164914840,11760.42,901,0
C856854353,C1170414322,15462.25,903,0
C1937154097,C1253065800,35022.16,909,0
C1937154097,C36083772,32074.55,911,0
C1937154097,C1497814741,5578.09,915,0
C1937154097,C1428303163,28916.18,916,0
C1937154097,C1286442459,24196.35,920,0
C1937154097,C141147154,9626.0,923,0
C2093424200,C520870429,24841.45,924,0
C2093424200,C822130127,31657.56,929,0
C2093424200,C1525003545,8010.49,930,0
C2093424200,C1381942422,47481.72,935,0
C1445440249,C647691358,21100.61,936,0
C1445440249,C1043178774,39641.67,941,0
C1445440249,C1867677364,38896.83,943,0
C254823126,C2030094732,28647.16,947,0
C254823126,C729093483,30676.73,948,0
C254823126,C1412731701,5412.06,954,0
C254823126,C160753255,31462.99,956,0
C254823126,C89065101,33191.19,959,0
C1431859543,C1107960128,8248.36,961,0
C1431859543,C2118725038,22799.93,965,0
C1431859543,C961237548,23760.67,970,0
C1067286911,C520162942,35297.88,971,0
C1067286911,C243746867,4023.4,975,0
C1067286911,C575159263,46233.6,977,0
C1634370316,C1950049371,11628.07,983,0
C1634370316,C1804760387,45466.37,985,0
C1634370316,C1809680421,4034.79,987,0
C1634370316,C1791283743,39735.11,989,0
C1634370316,C334626327,37573.41,994,0
C1634370316,C1924378826,46099.03,999,0
C19857962,C219745205,15552.51,1003,0
C19857962,C503136876,47162.47,1007,0
C1902660123,C1662289204,221687.51,1012,1
C1902660123,C1810331639,78858.53,1015,1
C1902660123,C1059585431,72532.7,1016,1
C1902660123,C1436941969,251607.79,1019,1
C1902660123,C295167762,178201.26,1022,1
C1902660123,C12082883,299873.86,1023,1
C773317079,C187435587,32749.72,1026,0
C773317079,C764677709,9483.71,1029,0
C773317079,C682186870,22076.31,1034,0
C773317079,C1717255145,48468.23,1038,0
C773317079,C1280807641,17724.07,1042,0
C773317079,C1462298080,16392.38,1045,0
C773317079,C1596485339,42957.79,1046,0
C773317079,C1738220356,20876.43,1049,0
C718499214,C1456638373,2316.51,1053,0
C718499214,C1381942422,16068.6,1054,0
C718499214,C306081184,6238.12,1057,0
C718499214,C602132293,43313.07,1061,0
C56124018,C1092218591,31320.38,1062,0
C56124018,C1642064612,31457.73,1066,0
C56124018,C1791302646,10576.13,1067,0
C56124018,C1428303163,6985.15,1072,0
C56124018,C1508612263,22186.75,1075,0
C56124018,C1471410715,24493.23,1081,0
C56124018,C2021616196,48670.77,1082,0
C1007230411,C1147766016,5113.86,1087,0
C1007230411,C1671416184,23341.67,1088,0
C1007230411,C1171541060,32561.63,1089,0
C1007230411,C142852110,25169.59,1091,0
C1007230411,C903359106,14947.15,1097,0
C1007230411,C879535390,14034.53,1103,0
C1007230411,C794392179,49022.11,1107,0
C1007230411,C2044588037,23110.93,1109,0
C2009324208,C1605188373,43269.33,1111,0
C2009324208,C285597326,38747.42,1114,0
C2009324208,C1680716543,17323.82,1118,0
C2009324208,C2122376821,13725.05,1123,0
C2009324208,C154246708,14500.53,1124,0
C360901778,C385749210,17583.64,1127,0
C360901778,C278870112,38262.2,1132,0
C360901778,C411629014,23039.56,1136,0
C360901778,C1323101813,43545.28,1139,0
C360901778,C210367155,12320.87,1145,0
C360901778,C560315155,12061.34,1149,0
C360901778,C1706166042,2660.54,1153,0
C360901778,C148642167,23912.32,1159,0
C1847252866,C1415459161,48258.81,1163,0
C1847252866,C1896793459,25363.41,1165,0
C1847252866,C401817712,16933.74,1170,0
C1847252866,C466079732,43772.42,1171,0
C1847252866,C1769197808,5435.73,1175,0
C487353600,C757236697,20793.94,1179,0
C487353600,C1266906385,48512.86,1185,0
C892070188,C698656908,20175.42,1186,0
C892070188,C1591242196,42662.38,1187,0
C892070188,C194088609,43037.44,1193,0
C892070188,C213567972,47729.91,1197,0
C892070188,C1930004902,36076.51,1203,0
C1727363658,C591912919,299240.65,1207,1
C1727363658,C112592875,31661.9,1210,1
C1727363658,C1436286683,229309.06,1211,1
C1727363658,C494285003,262410.87,1214,1
C1727363658,C664919573,54077.61,1216,1
C1727363658,C792437505,271510.1,1218,1
C1727363658,C832399448,100690.53,1219,1
C1727363658,C1326729088,91543.49,1220,1
C1034338199,C720914851,34249.12,1222,0
C1034338199,C501699559,8914.19,1224,0
C1034338199,C1073819123,30669.84,1225,0
C1034338199,C133737212,31175.66,1229,0
C1034338199,C953437121,25134.53,1231,0
C1095533087,C208457491,13071.88,1236,0
C1095533087,C1620854958,33508.62,1239,0
C1095533087,C675756216,45109.87,1243,0
C112592875,C242862115,32127.47,1249,0
C112592875,C580410563,34670.52,1253,0
C112592875,C94315822,42342.54,1257,0
C112592875,C1107709274,49968.99,1259,0
C112592875,C1351663874,5779.34,1263,0
C112592875,C1631715507,28810.17,1267,0
C1400810946,C1705249425,20092.38,1272,0
C1400810946,C813746583,28513.49,1273,0
C1400810946,C1340270772,39026.42,1279,0
C1400810946,C2008067078,45575.54,1280,0
C1816190491,C821757606,40195.63,1286,0
C1816190491,C413619981,32012.58,1288,0
C1816190491,C1040626784,12906.03,1293,0
C1816190491,C2024793829,38489.8,1299,0
C1816190491,C1617211333,41997.69,1305,0
C1287390284,C217076635,2451.42,1311,0
C1287390284,C1348019418,2151.54,1315,0
C2078220835,C1058864725,10439.34,1318,0
C2078220835,C2079400151,43884.8,1323,0
C2078220835,C813746583,26777.19,1326,0
C2078220835,C1181955477,41608.39,1329,0
C2078220835,C1712780480,45745.42,1332,0
C2078220835,C1662572005,48385.51,1336,0
C2078220835,C1748354503,37454.69,1339,0
C1969236889,C334626327,33883.11,1342,0
C1969236889,C219745205,48379.85,1346,0
C1969236889,C1705787868,18605.86,1351,0
C1969236889,C1737507720,1188.97,1355,0
C1969236889,C146219623,6617.64,1360,0
C1969236889,C155314837,33805.0,1363,0
C1969236889,C1407398288,13476.99,1369,0
C1969236889,C846644301,41209.66,1373,0
C520700943,C1978961158,23838.1,1376,0
C520700943,C1292175967,44269.62,1381,0
C353707765,C6811330,31952.49,1386,0
C353707765,C1532101531,45514.69,1390,0
C353707765,C1169179933,32637.35,1393,0
C353707765,C284476383,7418.96,1394,0
C295167762,C2067338871,44419.34,1395,0
C295167762,C1279387677,19737.97,1397,0
C295167762,C769838718,33689.07,1400,0
C295167762,C664919573,34975.96,1406,0
C682186870,C385749210,32918.63,1411,0
C682186870,C2004770448,30974.78,1415,0
C682186870,C209733968,2119.46,1418,0
C682186870,C1685239489,11254.85,1421,0
C682186870,C800735391,47552.48,1425,0
C161762344,C1596240321,27451.06,1428,0
C161762344,C999120452,18254.36,1434,0
C236224167,C1478565425,33307.05,1438,0
C236224167,C884667298,32154.9,1444,0
C236224167,C692736144,3003.64,1445,0
C236224167,C477766468,12556.66,1448,0
C1538062752,C1486671609,40746.12,1450,0
C1538062752,C1995896619,16763.7,1452,0
C1538062752,C494285003,39537.87,1454,0
C1538062752,C423510769,640.36,1459,0
C1538062752,C780697705,49382.6,1461,0
C1538062752,C1820201425,12907.38,1466,0
C1538062752,C1473177110,5941.35,1468,0
C1538062752,C198448088,7024.26,1469,0
C1307222398,C2019276242,6774.55,1472,0
C1307222398,C226927588,26541.23,1476,0
C1307222398,C1412731701,3646.12,1482,0
C1307222398,C1413430787,39011.84,1486,0
C1307222398,C934707720,29886.47,1491,0
C1307222398,C321432587,25440.02,1495,0
C1307222398,C826402421,2646.57,1500,0
C1307222398,C1511776389,26311.84,1506,0
C1265805587,C56124018,24768.31,1510,0
C1265805587,C1868166322,4137.79,1514,0
C1265805587,C1337154860,16444.54,1515,0
C1265805587,C245717919,3751.27,1517,0
C1265805587,C755371465,31403.72,1520,0
C1265805587,C696593858,27643.64,1525,0
C1265805587,C1294431000,19354.77,1528,0
C914370635,C844334246,39758.26,1533,0
C914370635,C1515868003,42713.24,1534,0
C914370635,C526559984,43946.46,1540,0
C914370635,C110491186,36181.58,1545,0
C914370635,C149261458,21788.46,1547,0
C914370635,C746038304,20983.77,1549,0
C556021140,C1005997884,15969.92,1553,0
C556021140,C1134064848,19027.9,1556,0
C556021140,C1767854326,34497.64,1558,0
C556021140,C409116124,3823.1,1562,0
C556021140,C412981216,5114.89,1563,0
C669132066,C727468631,28303.33,1564,0
C669132066,C330198568,6550.45,1570,0
C669132066,C1949097138,43743.56,1573,0
C669132066,C1131570700,43470.56,1577,0
C669132066,C921754046,3046.58,1583,0
C669132066,C1787836567,30220.3,1586,0
C669132066,C299948527,5628.23,1589,0
C1190378285,C1685239489,11600.12,1594,0
C1190378285,C44784462,17830.64,1595,0
C1190378285,C1079368103,18694.27,1600,0
C1062955798,C351654797,30871.88,1603,0
C1062955798,C105493020,28058.62,1609,0
C1062955798,C160753255,46489.67,1614,0
C1062955798,C999321166,13738.66,1620,0
C1062955798,C916528507,14026.88,1622,0
C1062955798,C1796994092,46116.11,1625,0
C1497814741,C432564588,28532.89,1628,0
C1497814741,C1838817659,3944.48,1632,0
C1198564067,C718499214,22955.47,1638,0
C1198564067,C477766468,18817.63,1640,0
C1198564067,C2122376821,16556.95,1646,0
C1198564067,C1275783443,30013.08,1651,0
C1198564067,C483776122,8201.21,1652,0
C1198564067,C1851953896,2963.24,1657,0
C1198564067,C2055583119,13969.09,1658,0
C896169346,C783806528,11170.66,1664,0
C896169346,C1617211333,6133.97,1669,0
C896169346,C1364895655,5989.04,1673,0
C896169346,C938558265,34085.07,1679,0
C896169346,C318925476,26583.24,1683,0
C2133436151,C375145280,49230.06,1686,0
C2133436151,C967157515,880.51,1687,0
C406548689,C916528507,13148.22,1690,0
C406548689,C846420037,6439.23,1693,0
C406548689,C1867677364,37477.2,1697,0
C1156579431,C1449480284,11890.48,1699,0
C1156579431,C1879835912,41751.03,1704,0
C1156579431,C1618131348,4067.74,1707,0
C1029827131,C2016959196,23257.84,1713,0
C1029827131,C983992720,43174.45,1714,0
C1596168080,C550329629,14831.0,1719,0
C1596168080,C605500145,1532.4,1723,0
C1596168080,C1671416184,9007.72,1726,0
C1596168080,C1009764686,23274.8,1731,0
C1596168080,C1091453035,46028.6,1737,0
C1633848999,C932917442,26436.15,1738,0
C1633848999,C1617007622,43590.96,1742,0
C1633848999,C340257095,17305.91,1748,0
C1633848999,C1520613140,39066.33,1751,0
C1633848999,C1381942422,25768.92,1752,0
C181258443,C1472832884,47932.06,1753,0
C181258443,C1627520728,40844.33,1759,0
C181258443,C1992141438,5588.82,1761,0
C181258443,C1709605511,10264.95,1764,0
C181258443,C295885184,8067.05,1769,0
C181258443,C1202398133,4229.99,1775,0
C788622974,C242612180,22720.81,1781,0
C788622974,C251149739,32328.1,1786,0
C788622974,C1719689544,16498.81,1791,0
C788622974,C552853002,16148.88,1797,0
C788622974,C1198166506,3880.17,1801,0
C1189566998,C1644089270,4172.44,1805,0
C1189566998,C224786116,22869.74,1809,0
C1189566998,C309833771,18752.51,1810,0
C1189566998,C1548160337,4298.18,1813,0
C1189566998,C457310169,30942.92,1814,0
C1189566998,C601811849,19531.88,1819,0
C1189566998,C1407482554,27938.66,1824,0
C1105000935,C1593508387,32765.95,1830,0
C1105000935,C1706893513,30447.79,1833,0
C1375239528,C1848649202,244235.21,1838,1
C1375239528,C1509984484,294803.75,1840,1
C1375239528,C1399870244,153841.96,1841,1
C1511776389,C1294541910,22169.03,1842,0
C1511776389,C1111619479,26441.39,1846,0
C823888282,C2130763546,19677.12,1851,0
C823888282,C330198568,34105.44,1854,0
C823888282,C575159263,39566.73,1855,0
C1513534074,C604731618,34079.78,1861,0
C1513534074,C322762576,12973.79,1864,0
C1513534074,C874228218,48238.3,1870,0
C1513534074,C1043178774,43727.34,1875,0
C1536042726,C920317205,7500.7,1878,0
C1536042726,C1415459161,15856.47,1881,0
C1428303163,C1456638373,28166.64,1887,0
C1428303163,C187711435,39687.27,1893,0
C1428303163,C1569419522,33670.76,1895,0
C1428303163,C1139478382,49859.62,1901,0
C1428303163,C1675088160,5125.92,1906,0
C1428303163,C241338795,21458.62,1912,0
C1428303163,C1786706990,1402.41,1915,0
C692197954,C1071982659,24570.41,1918,0
C692197954,C1203444673,49998.84,1920,0
C692197954,C179357916,4319.67,1922,0
C1299249468,C1869699871,17169.84,1923,0
C1299249468,C1651062510,6986.93,1928,0
C1299249468,C1170414322,8135.51,1932,0
C1299249468,C564844280,41651.58,1934,0
C1299249468,C2078220835,40547.66,1939,0
C1299249468,C691504407,36198.56,1941,0
C1882618846,C124281897,30724.47,1942,0
C1882618846,C1407398288,39298.12,1948,0
C1882618846,C1544045468,26933.55,1950,0
C1882618846,C1015290160,48297.03,1953,0
C1882618846,C793507905,45246.73,1957,0
C457310169,C1648214789,38587.21,1959,0
C457310169,C1320261967,25393.88,1963,0
C457310169,C788813924,48330.27,1967,0
C457310169,C1592379180,40162.33,1969,0
C1809899885,C1751175889,42371.67,1971,0
C1809899885,C1375239528,14610.62,1972,0
C1809899885,C1449454720,14003.17,1974,0
C1809899885,C283506748,7793.76,1979,0
C1809899885,C505882379,5039.82,1983,0
C1809899885,C780697705,40926.81,1985,0
C1809899885,C282139929,46558.36,1988,0
C1809899885,C410741199,3136.22,1992,0
C1798263472,C1608515054,11614.67,1997,0
C1798263472,C1960281066,46575.88,2000,0
C1798263472,C1608982030,32673.05,2006,0
C1798263472,C2075299524,7311.18,2008,0
C1101124654,C154119585,759.93,2011,0
C1101124654,C1460843648,1440.69,2012,0
C1101124654,C1621778977,41830.67,2014,0
C1101124654,C743323611,47041.18,2019,0
C1101124654,C1768869875,26624.69,2024,0
C1101124654,C1600774576,38920.55,2025,0
C1101124654,C800638211,15406.98,2027,0
C1101124654,C2027323250,12302.76,2028,0
C1891812296,C287694546,31781.77,2034,0
C1891812296,C681799614,12475.94,2039,0
C1891812296,C2085888366,14917.96,2041,0
C1891812296,C2038621739,30933.07,2042,0
C1891812296,C883255931,28747.85,2044,0
C1891812296,C480769774,33386.38,2046,0
C1891812296,C1407797846,26412.49,2047,0
C1891812296,C945880921,3850.13,2050,0
C1523365628,C1407482554,2654.95,2055,0
C1523365628,C1223947785,49061.45,2059,0
C1523365628,C1566728087,37492.17,2062,0
C1523365628,C657439943,39531.74,2065,0
C1523365628,C1423080038,12435.73,2068,0
C1523365628,C430839738,31598.72,2074,0
C1417405851,C2137365317,40768.69,2079,0
C1417405851,C2125730561,41603.99,2081,0
C1417405851,C1003557424,23498.83,2087,0
C1417405851,C669132066,24187.29,2093,0
C1417405851,C1417123679,40669.14,2095,0
C1417405851,C1189054692,35944.23,2096,0
C1417405851,C194088609,2330.7,2100,0
C921754046,C369632161,44346.62,2102,0
C921754046,C116148758,46701.86,2105,0
C1083957319,C1253135230,32521.57,2110,0
C1083957319,C2030631811,18170.22,2113,0
C1083957319,C1193705098,43357.01,2114,0
C1083957319,C1400810946,14024.22,2117,0
C1083957319,C1530922166,22129.09,2120,0
C1868166322,C1306397949,18683.67,2124,0
C1868166322,C1648566954,13702.67,2129,0
C1868166322,C1744564634,36490.53,2130,0
C1868166322,C1961724439,21815.05,2131,0
C1868166322,C1039302596,27500.98,2133,0
C1868166322,C297217838,5578.6,2136,0
C1868166322,C383929943,33215.5,2139,0
C898749917,C785867503,22473.46,2142,0
C898749917,C1292302796,2596.58,2146,0
C898749917,C108521131,30935.15,2149,0
C898749917,C638072409,14090.49,2153,0
C898749917,C1991148209,4214.54,2154,0
C1848649202,C957542929,8419.34,2160,0
C1848649202,C1754742262,7567.58,2161,0
C1848649202,C1850999656,34065.4,2166,0
C1848649202,C1942879550,2222.55,2170,0
C1848649202,C1327472972,12181.77,2171,0
C907180327,C1221238251,30452.19,2177,0
C907180327,C620620873,22771.17,2183,0
C907180327,C286630667,18914.66,2186,0
C907180327,C360901778,28909.13,2187,0
C2085888366,C289174898,12855.78,2192,0
C2085888366,C1870150003,1782.71,2193,0
C2085888366,C1875532915,25202.68,2195,0
C2085888366,C954995218,45720.35,2199,0
C284476383,C769930754,11121.24,2200,0
C284476383,C1124665734,14636.06,2205,0
C284476383,C1618131348,10408.83,2209,0
C284476383,C1808780297,42714.9,2211,0
C71848990,C2072502602,40620.4,2215,0
C71848990,C1575774815,33558.07,2218,0
C71848990,C1659648833,3714.48,2224,0
C266290457,C713341736,46402.56,2229,0
C266290457,C1803099256,9117.5,2235,0
C266290457,C879432072,25683.41,2238,0
C266290457,C1671416184,49264.06,2239,0
C1752092471,C1104612016,18364.38,2241,0
C1752092471,C1662289204,18761.1,2246,0
C1752092471,C2093424200,6923.68,2251,0
C1525003545,C382275535,49979.95,2252,0
C1525003545,C289174898,24193.92,2258,0
C604731618,C2037480693,34165.4,2262,0
C604731618,C154188062,6852.56,2265,0
C604731618,C580410563,32169.8,2270,0
C604731618,C433463748,38505.19,2272,0
C604731618,C685518704,21914.61,2274,0
C604731618,C1574224220,41653.84,2275,0
C604731618,C1593508387,8074.27,2280,0
C604731618,C1252917072,8517.36,2282,0
C639404397,C433650546,42373.72,2288,0
C639404397,C1738220356,10216.95,2291,0
C639404397,C829770876,14085.33,2296,0
C789755075,C705085245,32228.88,2302,0
C789755075,C1119304589,47109.55,2307,0
C789755075,C538248429,8974.43,2309,0
C789755075,C1612030565,36171.32,2314,0
C443374393,C1719689544,2750.36,2319,0
C443374393,C236224167,38665.61,2325,0
C443374393,C1634370316,32730.93,2328,0
C443374393,C1416332676,21121.05,2333,0
